회차,번호1,번호2,번호3,번호4,번호5,번호6,보너스,1등당첨금,1등당첨자수
608,4,8,18,19,39,44,41,1943530018,7
609,4,8,27,34,39,40,13,6339311438,2
610,14,18,20,23,28,36,33,3516018375,4
611,2,22,27,33,36,37,14,3502706157,4
612,6,9,18,19,25,33,40,1181705250,11
613,7,8,11,16,41,44,35,1549831209,9
614,8,21,25,39,40,44,18,2540975438,6
615,10,17,18,19,23,27,35,1535062417,9
616,5,13,18,23,40,45,3,1611811250,9
617,4,5,11,12,24,27,28,1629701860,8
618,8,16,25,30,42,43,15,2881326225,5
619,6,8,13,30,35,40,21,4612479375,3
620,2,16,17,32,39,45,40,2028283233,7
621,1,2,6,16,19,42,9,2359723500,6
622,9,15,16,21,28,34,24,1630598292,9
623,7,13,30,39,41,45,25,1813702594,8
624,1,7,19,26,27,35,16,2763729450,5
625,3,6,7,20,21,39,13,2765184675,5
626,13,14,26,33,40,43,15,1717871110,8
627,2,9,22,25,31,45,12,1352230650,10
628,1,7,12,15,23,42,11,1499942875,9
629,19,28,31,38,43,44,1,2919433575,5
630,8,17,21,24,27,31,15,4836305500,3
631,1,2,4,23,31,34,8,3919853532,4
632,15,18,21,32,35,44,6,1432587716,11
633,9,12,19,20,39,41,13,1217257094,12
634,4,10,11,12,20,27,38,1077935106,13
635,11,13,25,26,29,33,32,1855587235,8
636,6,7,15,16,20,31,26,1832362219,8
637,3,16,22,37,38,44,23,3899241094,4
638,7,18,22,24,31,34,6,2229403179,7
639,6,15,22,23,25,32,40,4061185219,4
640,14,15,18,21,26,35,23,1728768834,9
641,11,18,21,36,37,43,12,1990074563,8
642,8,17,18,24,39,45,32,1251460438,12
643,15,24,31,32,33,40,13,2535763625,6
644,5,13,17,23,28,36,8,1831451204,8
645,1,4,16,26,40,41,31,3696297750,4
646,2,9,24,41,43,45,30,2215498393,7
647,5,16,21,23,24,30,29,2189725608,7
648,13,19,28,37,38,43,4,2120987947,7
649,3,21,22,33,41,42,20,2948042100,5
650,3,4,7,11,31,41,35,2849298900,5
651,11,12,16,26,29,44,18,1855306454,8
652,3,13,15,40,41,44,20,3003483525,5
653,5,6,26,27,38,39,1,980958670,14
654,16,21,26,31,36,43,6,1879301391,8
655,7,37,38,39,40,44,18,1661439625,9
656,3,7,14,16,31,40,39,7330002750,2
657,10,14,19,39,40,43,23,1694762792,9
658,8,19,25,28,32,36,37,1634031375,9
659,7,18,19,27,29,42,45,1336604216,11
660,4,9,23,33,39,44,14,1421272575,10
661,2,3,12,20,27,38,40,1713025547,8
662,5,6,9,11,15,37,26,1689733688,8
663,3,5,8,19,38,42,20,2080244143,7
664,10,20,33,36,41,44,5,1536801338,10
665,5,6,11,17,38,44,13,3643230375,4
666,2,4,6,11,17,28,16,2396901063,6
667,15,17,25,37,42,43,13,2228764393,7
668,12,14,15,24,27,32,3,2991158625,5
669,7,8,20,29,33,38,9,2708173188,6
670,11,18,26,27,40,41,25,1191725219,12
671,7,9,10,13,31,35,24,3722322844,4
672,8,21,28,31,36,45,43,1754745000,9
673,7,10,17,29,33,44,5,1491453300,10
674,9,10,14,25,27,31,11,1770565500,8
675,1,8,11,15,18,45,7,3514549032,4
676,1,8,17,34,39,45,27,1879726500,8
677,12,15,24,36,41,44,42,1921114407,8
678,4,5,6,12,25,37,45,2288490188,6
679,3,5,7,14,26,34,35,2863005600,5
680,4,10,19,29,32,42,30,1110570563,14
681,21,24,27,29,43,44,7,2696328938,6
682,17,23,27,35,38,43,2,4063713563,4
683,6,13,20,27,28,40,15,1010930883,16
684,1,11,15,17,25,39,40,1688815709,9
685,6,7,12,28,38,40,18,1494367671,11
686,7,12,15,24,25,43,13,1937531719,8
687,1,8,10,13,28,42,45,2720029313,6
688,5,15,22,23,34,35,2,1967536750,9
689,7,17,19,30,36,38,34,2321775911,7
690,24,25,33,34,38,39,43,1126507625,15
691,15,27,33,35,43,45,16,2839296750,6
692,3,11,14,15,32,36,44,2301273697,7
693,1,6,11,28,34,42,30,1642763813,10
694,7,15,20,25,33,43,12,1555036388,10
695,4,18,26,33,34,38,14,1450214830,11
696,1,7,16,18,34,38,21,1632054413,10
697,2,5,8,11,33,39,31,1531443038,10
698,3,11,13,21,33,37,18,1921084125,8
699,4,5,8,16,21,29,3,1995411375,8
700,11,23,28,29,30,44,13,2082099188,8
701,3,10,14,16,36,38,35,1583183175,10
702,3,13,16,24,26,29,9,1465091387,11
703,10,28,31,33,41,44,21,3235784100,5
704,1,4,8,23,33,42,45,3865190344,4
705,1,6,17,22,28,45,23,3987206532,4
706,3,4,6,10,28,30,37,3831746063,4
707,2,12,19,24,39,44,35,1322167313,12
708,2,10,16,19,34,45,1,4099552219,4
709,10,18,30,36,39,44,32,1165271625,14
710,3,4,9,24,25,33,10,2895441150,5
711,11,15,24,35,37,45,42,2277413358,7
712,17,20,30,31,33,45,19,4034485125,4
713,2,5,15,18,19,23,44,1714720917,9
714,1,7,22,33,37,40,20,2085131733,7
715,2,7,27,33,41,44,10,2605510438,6
716,2,6,13,16,29,30,21,1358752157,12
717,2,11,19,25,28,32,44,2702433688,6
718,4,11,20,23,32,39,40,926166464,17
719,4,8,13,19,20,43,26,1879581334,9
720,1,12,29,34,36,37,41,1233770358,14
721,1,28,35,41,43,44,31,2273767360,8
722,12,14,21,30,39,43,45,4365422719,4
723,20,30,33,35,36,44,22,2114365360,8
724,2,8,33,35,37,41,14,1427789813,12
725,6,7,19,21,41,43,38,1579217250,11
726,1,11,21,23,34,44,24,1166872634,14
727,7,8,10,19,21,31,20,1115107742,14
728,3,6,10,30,34,37,36,3243464400,5
729,11,17,21,26,36,45,16,4198250719,4
730,4,10,14,15,18,22,39,2017382110,8
731,2,7,13,25,42,45,39,2340471054,7
732,2,4,5,17,27,32,43,2203270608,7
733,11,24,32,33,35,40,13,4016725125,4
734,6,16,37,38,41,45,18,1949395500,9
735,5,10,13,27,37,41,4,1847231588,10
736,2,11,17,18,21,27,6,3397362225,5
737,13,15,18,24,27,41,11,4283061000,4
738,23,27,28,38,42,43,36,1634191091,11
739,7,22,29,33,34,35,30,4744122282,4
740,4,8,9,16,17,19,31,936929792,18
741,5,21,27,34,44,45,16,3043595938,6
742,8,10,13,36,37,40,6,1111814813,16
743,15,19,21,34,41,44,10,2608641000,7
744,10,15,18,21,34,41,43,1155411575,15
745,1,2,3,9,12,23,10,746822982,20
746,3,12,33,36,42,45,25,2038623709,9
747,7,9,12,14,23,28,17,1903214584,9
748,3,10,13,22,31,32,29,1928246542,9
749,12,14,24,26,34,45,41,1350104395,13
750,1,2,15,19,24,36,12,2522104286,7
751,3,4,16,20,28,44,17,2097968110,8
752,4,16,20,33,40,43,7,1870358834,9
753,2,17,19,24,37,41,3,2711105063,6
754,2,8,17,24,29,31,32,3427542000,5
755,13,14,26,28,30,36,37,2214427266,8
756,10,14,16,18,27,28,4,3414434700,5
757,6,7,11,17,33,44,1,739839858,21
758,5,9,12,30,39,43,24,2078969954,8
759,9,33,36,40,42,43,32,3032670500,6
760,10,22,27,31,42,43,12,2253299391,8
761,4,7,11,24,42,45,30,2392730518,7
762,1,3,12,21,26,41,16,1631432063,10
763,3,8,16,32,34,43,10,2138130000,8
764,7,22,24,31,34,36,15,2459975465,7
765,1,3,8,12,42,43,33,1109214250,15
766,9,30,34,35,39,41,21,2173637297,8
767,5,15,20,31,34,42,22,1163768725,15
768,7,27,29,30,38,44,4,1363572260,13
769,5,7,11,16,41,45,4,1930760042,9
770,1,9,12,23,39,43,34,2163099329,8
771,6,10,17,18,21,29,30,4362644907,4
772,5,6,11,14,21,41,32,1769608838,10
773,8,12,19,21,31,35,44,1609403080,11
774,12,15,18,28,34,42,9,1709721512,11
775,11,12,29,33,38,42,17,3470437650,5
776,8,9,18,21,28,40,20,2557579393,7
777,6,12,17,21,34,37,18,833468036,21
778,6,21,35,36,37,41,11,6264069500,3
779,6,12,19,24,34,41,4,1527709296,11
780,15,17,19,21,27,45,16,1667520137,11
781,11,16,18,19,24,39,43,1882891542,9
782,6,18,31,34,38,45,20,1946487625,9
783,14,15,16,17,38,45,36,4603964625,4
784,3,10,23,24,31,39,22,1908678000,9
785,4,6,15,25,26,33,40,2886622688,6
786,12,15,16,20,24,30,38,4551365250,4
787,5,6,13,16,27,28,9,3092108313,6
788,2,10,11,19,35,39,29,1401475154,13
789,2,6,7,12,19,45,38,1140976825,15
790,3,8,19,27,30,41,12,1160516274,16
791,2,10,12,31,33,42,32,1253081893,14
792,2,7,19,25,29,36,16,2655736768,7
793,10,15,21,35,38,43,31,3750146775,5
794,6,7,18,19,30,38,13,2650940304,7
795,3,10,13,26,34,38,36,1714977000,11
796,1,21,26,36,40,41,5,2763490340,7
797,5,22,31,32,39,45,36,2397028125,8
798,2,10,14,22,32,36,41,2710791911,7
799,12,17,23,34,42,45,33,1826427225,10
800,1,4,10,12,28,45,26,1632246205,11
801,17,25,28,37,43,44,2,2256786657,8
802,10,11,12,18,24,42,27,1082947993,16
803,5,9,14,26,30,43,2,3663810225,5
804,1,10,13,26,32,36,9,1631996523,11
805,3,12,13,18,31,32,42,4266061969,4
806,14,20,23,31,37,38,27,2640760875,7
807,6,10,18,25,34,35,33,2437662322,7
808,15,21,31,32,41,43,24,3087620500,6
809,6,11,15,17,23,40,39,2921372750,6
810,5,10,13,21,39,43,11,2231598047,8
811,8,11,19,21,36,45,25,2524148197,7
812,1,3,12,14,16,43,10,2947954750,6
813,11,30,34,35,42,44,27,4591763157,4
814,2,21,28,38,42,45,30,3067192063,6
815,17,21,25,26,27,36,4,2579855358,7
816,12,18,19,29,31,39,7,2128107938,8
817,3,9,12,13,25,43,34,1868477334,9
818,14,15,25,28,29,30,3,1380804318,13
819,16,25,33,38,40,45,15,2594534840,7
820,10,21,22,30,35,42,6,4627313532,4
821,1,12,13,24,29,44,16,1316155956,14
822,9,18,20,24,27,36,12,5930898625,3
823,12,18,24,26,39,40,15,2009843917,9
824,7,9,24,29,34,38,26,1256646550,15
825,8,15,21,31,33,38,42,1658710563,12
826,13,16,24,25,33,36,42,2075192084,9
827,5,11,12,29,33,44,14,1206500375,15
828,4,7,13,29,31,39,18,1455185972,13
829,4,5,31,35,43,45,29,2444650641,8
830,5,6,16,18,37,38,17,2060528750,9
831,3,10,16,19,31,39,9,1110702258,16
832,13,14,19,26,40,43,30,2088204584,9
833,12,18,30,39,41,42,19,2356317282,8
834,6,8,18,35,42,43,3,1690693671,11
835,9,10,13,28,38,45,35,1233681125,15
836,1,9,11,14,26,28,19,1257843670,14
837,2,25,28,30,33,45,6,3144449125,6
838,9,14,17,33,36,38,20,3813733050,5
839,3,9,11,12,13,19,35,1359454904,13
840,2,4,11,28,29,43,27,2042961788,10
841,5,11,14,30,33,38,24,1116095714,17
842,14,26,32,36,39,42,38,2035475025,10
843,19,21,30,33,34,42,4,4012970100,5
844,7,8,13,15,33,45,18,1162963542,18
845,1,16,29,33,40,45,6,1891217182,11
846,5,18,30,41,43,45,13,1596884395,13
847,12,16,26,28,30,42,22,2520846657,8
848,1,2,16,22,38,39,34,3011580858,7
849,5,13,17,29,34,39,3,1158252883,17
850,16,20,24,28,36,39,5,3377587875,6
851,14,18,22,26,31,44,40,2483692313,8
852,11,17,28,30,33,35,9,4801543407,4
853,2,8,23,26,27,44,13,2885006786,7
854,20,25,31,32,36,43,3,3421706750,6
855,8,15,17,19,43,44,7,2269510500,9
856,10,24,40,41,43,44,17,3977927550,5
857,6,10,16,28,34,38,43,1284915425,15
858,9,13,32,38,39,43,23,2202347459,9
859,8,22,35,38,39,41,24,1853927489,11
860,4,8,18,25,27,32,42,1879899825,10
861,11,17,19,21,22,25,24,4872108844,4
862,10,34,38,40,42,43,32,2190922709,9
863,16,21,28,35,39,43,12,2853357322,7
864,3,7,10,13,25,36,32,1716553637,11
865,3,15,22,32,33,45,2,1551729145,13
866,9,15,29,34,37,39,12,2240409000,9
867,14,17,19,22,24,40,41,3933755250,5
868,12,17,28,41,43,44,25,3233804250,6
869,2,6,20,27,37,39,4,1922582588,10
870,21,25,30,32,40,42,31,1928842988,10
871,2,6,12,26,30,34,38,2718071358,7
872,2,4,30,32,33,43,29,1262705579,16
873,3,5,12,13,33,39,38,1874553225,10
874,1,15,19,23,28,42,32,1117123917,18
875,19,22,30,34,39,44,36,1415946724,14
876,5,16,21,26,34,42,24,1090657856,19
877,5,17,18,22,23,43,12,1716607188,12
878,2,6,11,16,25,31,3,3207993500,6
879,1,4,10,14,15,35,20,3206361313,6
880,7,17,19,23,24,45,38,2837810465,7
881,4,18,20,26,27,32,9,2503212282,8
882,18,34,39,43,44,45,23,4127270400,5
883,9,18,32,33,37,44,22,1360519525,15
884,4,14,23,28,37,45,17,1799077282,12
885,1,3,24,27,39,45,31,1543832568,13
886,19,23,28,37,42,45,2,2974643786,7
887,8,14,17,27,36,45,10,2535268688,8
888,3,7,12,31,34,38,32,2370359204,8
889,3,13,29,38,39,42,26,2108986950,10
890,1,4,14,18,29,37,6,2335486167,9
891,9,13,28,31,39,41,19,3082673947,7
892,4,9,17,18,26,42,36,1282017464,17
893,1,15,17,23,25,41,10,2377433625,9
894,19,32,37,40,41,43,45,2377935959,9
895,16,26,31,38,39,41,23,1928079219,12
896,5,12,25,26,38,45,23,3053222036,7
897,6,7,12,22,26,36,29,1619922520,13
898,18,21,28,35,37,42,17,2639313235,8
899,8,19,20,21,33,39,37,3359356063,6
900,7,13,16,18,35,38,14,3349851375,6
901,5,18,20,23,30,34,21,2267974667,9
902,7,19,23,24,36,39,30,1619317529,13
903,2,15,16,21,22,28,45,1684582212,13
904,2,6,8,26,43,45,11,2718077813,8
905,3,4,16,27,38,40,20,3017862536,7
906,2,5,14,28,31,32,20,2472607250,9
907,21,27,29,38,40,44,37,3165059036,7
908,3,16,21,22,23,44,30,2834856141,8
909,7,24,29,30,34,35,33,2021062875,11
910,1,11,17,27,35,39,31,941316375,21
911,4,5,12,14,32,42,35,2113538625,10
912,5,8,18,21,22,38,10,1493500581,14
913,6,14,16,21,27,37,40,1338755602,16
914,16,19,24,33,42,44,27,1950005557,11
915,2,6,11,13,22,37,14,3518640500,6
916,6,21,22,32,35,36,17,2025384341,11
917,1,3,23,24,27,43,34,2144799638,10
918,7,11,12,31,33,38,5,1117622646,18
919,9,14,17,18,42,44,35,4305150450,5
920,2,3,26,33,34,43,29,3120260197,7
921,5,7,12,22,28,41,1,1232573405,17
922,2,6,13,17,27,43,36,3417904500,6
923,3,17,18,23,36,41,26,2667554625,8
924,3,11,34,42,43,44,13,2382430667,9
925,13,24,32,34,39,42,4,1771080532,12
926,10,16,18,20,25,31,6,2032490663,10
927,4,15,22,38,41,43,26,3714203875,6
928,3,4,10,20,28,44,30,3134591358,7
929,7,9,12,15,19,23,4,1308035157,16
930,8,21,25,38,39,44,28,2832418829,8
931,14,15,23,25,35,43,32,2957108063,8
932,1,6,15,36,37,38,5,3390022983,7
933,23,27,29,31,36,45,37,2927797079,8
934,1,3,30,33,36,39,12,5765772844,4
935,4,10,20,32,38,44,18,1711055424,13
936,7,11,13,17,18,29,43,1492069179,14
937,2,10,13,22,29,40,26,2058420819,11
938,4,8,10,16,31,36,9,2249466563,10
939,4,11,28,39,42,45,6,1708363039,13
940,3,15,20,22,24,41,11,2846071079,8
941,12,14,25,27,39,40,35,1347297422,16
942,10,12,18,35,42,43,39,3761680313,6
943,1,8,13,36,44,45,39,3435045108,7
944,2,13,16,19,32,33,42,1961836356,13
945,9,10,15,30,33,37,26,1765554491,13
946,9,18,19,30,34,40,20,2157656182,11
947,3,8,17,20,27,35,26,1275855750,18
948,13,18,30,31,38,41,5,2188548716,11
949,14,21,35,36,40,44,30,2458569713,10
950,3,4,15,22,28,40,10,3281920500,8
951,2,12,30,31,39,43,38,1747552661,14
952,4,12,22,24,33,41,38,2713699834,9
953,7,9,22,27,37,42,34,1640636009,14
954,1,9,26,28,30,41,32,2478795900,10
955,4,9,23,26,29,33,8,2023170188,12
956,10,11,20,21,25,41,40,2022982671,11
957,4,15,24,35,36,40,1,2126634137,11
958,2,9,10,16,35,37,1,1596119675,15
959,1,14,15,24,40,41,35,3015312891,8
960,2,18,24,30,32,45,14,2401133213,10
961,11,20,29,31,33,42,43,2575231209,9
962,1,18,28,31,34,43,40,1940906094,12
963,6,12,19,23,34,42,35,1476478125,15
964,6,21,36,38,39,43,30,2345861063,10
965,2,13,25,28,29,36,34,3403348929,7
966,1,21,25,29,34,37,36,2411303513,10
967,1,6,13,37,38,40,9,5809776094,4
968,2,5,12,14,24,39,33,1667729683,13
969,3,9,10,29,40,45,7,1149427894,20
970,9,11,16,21,28,36,5,1611544045,14
971,2,6,17,18,21,26,7,3725880250,6
972,3,6,17,23,37,39,26,1124886244,20
973,22,26,31,37,41,42,24,2912742750,8
974,1,2,11,16,39,44,32,1317034523,17
975,7,8,9,17,22,24,5,2440410375,9
976,4,12,14,25,35,37,2,3243867215,7
977,2,9,10,14,22,44,16,1669905911,14
978,1,7,15,32,34,42,8,2373391388,10
979,7,11,16,21,27,33,24,1606400518,14
980,3,13,16,23,24,35,14,3409443215,7
981,27,36,37,41,43,45,32,1992863193,13
982,5,7,13,20,21,44,33,3023630672,8
983,13,23,26,31,35,43,15,2503422225,10
984,3,10,23,35,36,37,18,3453006268,7
985,17,21,23,30,34,44,19,2434752975,10
986,7,10,16,28,41,42,40,2375275125,10
987,2,4,15,23,29,38,7,2378711625,10
988,2,13,20,30,31,41,27,2678489375,9
989,17,18,21,27,29,33,26,5826768563,4
990,2,4,25,26,36,37,28,1740095277,14
991,13,18,25,31,33,44,38,2904166032,8
992,12,20,26,33,44,45,24,1986955563,12
993,6,14,16,18,24,42,44,3991197063,6
994,1,3,8,24,27,35,28,1861582063,12
995,1,4,13,29,38,39,7,3447271875,7
996,6,11,15,24,32,39,28,1491185771,18
997,4,7,14,16,24,44,20,1253749560,19
998,13,17,18,20,42,45,41,2076499657,12
999,1,3,9,14,18,28,34,1513274790,16
1000,2,8,19,22,32,42,39,1246819620,22
1001,6,10,12,14,20,42,15,2077279594,12
1002,17,25,33,35,38,45,15,3088449563,8
1003,1,4,29,39,43,45,31,1811116822,14
1004,7,15,30,37,39,44,18,2576251913,10
1005,8,13,18,24,27,29,17,2061199344,12
1006,8,11,15,16,17,37,36,2855602125,9
1007,8,11,16,19,21,25,40,2718786375,9
1008,9,11,30,31,41,44,33,2267377910,11
1009,15,23,29,34,40,44,20,1702462825,15
1010,9,12,15,25,34,36,3,3119380079,8
1011,1,9,12,26,35,38,42,2220348512,11
1012,5,11,18,20,35,45,3,1861944318,13
1013,21,22,26,34,36,41,32,5047570725,5
1014,3,11,14,18,26,27,21,2410449338,10
1015,14,23,31,33,37,40,44,3051105610,8
1016,15,26,28,34,41,42,44,2260660671,11
1017,12,18,22,23,30,34,32,3517684822,7
1018,3,19,21,25,37,45,35,12361744688,2
1019,1,4,13,17,34,39,6,438565140,50
1020,12,27,29,38,41,45,6,1966431520,13
1021,12,15,17,24,29,45,16,2108962250,12
1022,5,6,11,29,42,45,28,4866468075,5
1023,10,14,16,18,29,35,25,2745677875,9
1024,9,18,20,22,38,44,10,3020323500,8
1025,8,9,20,25,29,33,7,6118853344,4
1026,5,12,13,31,32,41,34,1619118475,15
1027,14,16,27,35,39,45,5,2460504338,10
1028,5,7,12,13,18,35,23,1181235132,20
1029,12,30,32,37,39,41,24,2527848450,10
1030,2,5,11,17,24,29,9,1276406507,19
1031,6,7,22,32,35,36,19,3213957563,8
1032,1,6,12,19,36,42,28,2675257538,10
1033,3,11,15,20,35,44,10,1913414943,13
1034,26,31,32,33,38,40,11,2868856209,9
1035,9,14,34,35,41,42,2,3231193735,8
1036,2,5,22,32,34,45,39,2837323167,9
1037,2,14,15,22,27,33,31,1708576825,15
1038,7,16,24,27,37,44,2,1627457225,15
1039,2,3,6,19,36,39,26,1585019672,16
1040,8,16,26,29,31,36,11,3660482625,7
1041,6,7,9,11,17,18,45,935091165,25
1042,5,14,15,23,34,43,4,1240663669,20
1043,3,5,12,22,26,31,19,1468646956,17
1044,12,17,20,26,28,36,4,3136941235,8
1045,6,14,15,19,21,41,37,1990060443,13
1046,7,16,25,29,35,36,28,2011415719,12
1047,2,20,33,40,42,44,32,2748797875,9
1048,6,12,17,21,32,39,30,1612494508,17
1049,3,5,13,20,21,37,17,1727810100,15
1050,6,12,31,35,38,43,17,1535083280,17
1051,21,26,30,32,33,35,44,1669558480,18
1052,5,17,26,27,35,38,1,2341682762,11
1053,22,26,29,30,34,45,15,4090367411,7
1054,14,19,27,28,30,45,33,3147925709,9
1055,4,7,12,14,22,33,31,2362815205,11
1056,13,20,24,32,36,45,29,1969662456,14
1057,8,13,19,27,40,45,12,1616069714,17
1058,11,23,25,30,32,40,42,2058020250,13
1059,7,10,22,25,34,40,27,2033168481,13
1060,3,10,24,33,38,45,36,898238907,28
1061,4,24,27,35,37,45,15,2422768773,11
1062,20,31,32,40,41,45,12,3801933804,7
1063,3,6,22,23,24,38,30,3770311875,7
1064,3,6,9,18,22,35,14,1348168106,19
1065,3,18,19,23,32,45,24,1852593938,14
1066,6,11,16,19,21,32,45,1670947250,15
1067,7,10,19,23,28,33,18,1981114010,13
1068,4,7,19,26,33,35,3,1363929514,19
1069,1,10,18,22,28,31,44,1863217554,14
1070,3,6,14,22,30,41,36,1859116929,14
1071,1,2,11,21,30,35,39,5183979750,5
1072,16,18,20,23,32,43,27,2175006375,12
1073,6,18,28,30,32,38,15,2345227603,11
1074,1,6,20,27,28,41,15,2134763657,12
1075,1,23,24,35,44,45,10,2896337167,9
1076,3,7,9,33,36,37,10,2672689750,9
1077,4,8,17,30,40,43,34,3570901018,7
1078,6,10,11,14,36,38,43,2141604938,12
1079,4,8,18,24,37,45,6,2712329417,9
1080,13,16,23,31,36,44,38,3639444429,7
1081,1,9,16,23,24,38,17,2343892944,11
1082,21,26,27,32,34,42,31,3720489643,7
1083,3,7,14,15,22,38,17,1713084525,15
1084,8,12,13,29,33,42,5,1738764600,15
1085,4,7,17,18,38,44,36,1073277473,23
1086,11,16,25,27,35,36,37,1515913809,17
1087,13,14,18,21,34,44,16,1732253602,16
1088,11,21,22,30,39,44,31,2434697898,11
1089,4,18,31,37,42,43,40,2978522167,9
1090,12,19,21,29,40,45,1,2386494614,11
1091,6,20,23,24,28,30,44,2898470459,9
1092,7,18,19,26,33,45,37,1583289844,16
1093,10,17,22,30,35,43,44,1967040750,13
1094,6,7,15,22,26,40,41,2112854469,12
1095,8,14,28,29,34,40,12,2617825575,10
1096,1,12,16,19,23,43,34,2539391175,10
1097,14,33,34,35,37,40,4,3864293090,7
1098,12,16,21,24,41,43,15,1930461895,13
1099,3,20,28,38,40,43,4,2959934125,9
1100,17,26,29,30,31,43,12,2207575472,13
1101,6,7,13,28,36,42,41,2100529500,13
1102,13,14,22,26,37,38,20,1383591413,20
1103,10,12,29,31,40,44,2,1574419633,17
1104,1,7,21,30,35,38,2,1817193100,15
1105,6,16,34,37,39,40,11,1834853800,15
1106,1,3,4,29,42,45,36,2790462819,11
1107,6,14,30,31,40,41,29,2025625233,14
1108,7,19,26,37,39,44,27,1957990849,14
1109,10,12,13,19,33,40,2,1584352875,17
1110,3,7,11,20,22,41,24,1647392719,16
1111,3,13,30,33,43,45,4,1714662540,16
1112,16,20,26,36,42,44,24,2804455650,10
1113,11,13,20,21,32,44,8,1987426822,14
1114,10,16,19,32,33,38,3,1583813824,17
1115,7,12,23,32,34,36,8,2257278282,12
1116,15,16,17,25,30,31,32,2695000238,10
1117,3,4,9,30,33,36,7,3028385542,9
1118,11,13,14,15,16,45,3,1477445132,19
1119,1,9,12,13,20,45,3,1396028764,19
1120,2,19,26,31,38,41,34,2522163375,11
1121,6,24,31,32,38,44,8,2524513262,11
1122,3,6,21,30,34,35,22,2556266046,11
1123,13,19,21,24,34,35,26,1731310711,16
1124,3,8,17,30,33,34,28,2623327913,10
1125,6,14,25,33,40,44,30,2195289188,12
1126,4,5,9,11,37,40,7,2386382421,11
1127,10,15,24,30,31,37,32,2267891969,12
1128,1,5,8,16,28,33,45,419925560,63
1129,5,10,11,17,28,34,22,2369567660,11
1130,15,19,21,25,27,28,40,2263301219,12
1131,1,2,6,14,27,38,33,1542367898,17
1132,6,7,19,28,34,41,5,2404951807,11
1133,13,14,20,28,29,34,23,2105079491,13
1134,3,7,9,13,19,24,23,1755689384,14
1135,1,6,13,19,21,33,4,2953726125,9
1136,21,33,35,38,42,44,1,2314468157,12
1137,4,9,12,15,33,45,26,2023447688,14
1138,14,16,19,20,29,34,35,1902656786,14
1139,5,12,15,30,37,40,18,2167490972,13
1140,7,10,22,29,31,38,15,2279823938,12
1141,7,11,12,21,26,35,20,2457758285,11
1142,2,8,28,30,37,41,22,3117517709,9
1143,10,16,17,27,28,36,6,2545657023,11
1144,3,4,12,15,26,34,6,1489347375,18
1145,2,11,31,33,37,44,32,3051630084,9
1146,6,11,17,19,40,43,28,2526476353,11
1147,7,11,24,26,27,37,32,3323422079,8
1148,3,6,13,15,16,22,32,2073332308,13
1149,8,15,19,21,32,36,38,1613380765,17
1150,8,9,18,35,39,45,25,1570620309,17
1151,2,3,9,15,27,29,8,1620503030,17
1152,30,31,32,35,36,37,5,874349668,35
1153,1,9,10,13,35,44,5,2027312925,15
1154,4,8,22,26,32,38,27,1854965425,15
1155,10,16,19,27,37,38,13,4066375179,7
1156,30,31,34,39,41,45,7,1505207090,21
1157,5,7,12,20,25,26,28,2257842157,12
1158,21,25,27,32,37,38,20,1394358197,21
1159,3,9,27,28,38,39,7,1284854250,23
1160,7,13,18,36,39,45,19,2509359875,12
1161,2,12,20,24,34,42,37,1792657969,16
1162,20,21,22,25,28,29,6,823931021,36
1163,2,13,15,16,33,43,4,1936891150,15
1164,17,18,23,25,38,39,22,2193092164,13
1165,6,7,27,29,38,45,17,2192485270,13
1166,14,23,25,27,29,42,16,2072319938,14
1167,8,23,31,35,39,40,24,2884087913,10
1168,9,21,24,30,33,37,29,2136635914,13
1169,5,12,24,26,39,42,20,2852735813,10
1170,3,13,28,34,38,42,25,1386550969,20
1171,3,6,7,11,12,17,19,1128345286,21
1172,7,9,24,40,42,44,45,2203004452,13
1173,1,5,18,20,30,35,3,1179946063,24
1174,8,11,14,17,36,39,22,1910619425,15
1175,3,4,6,8,32,42,31,1384026094,20
1176,7,9,11,21,30,35,29,2052166154,13
1177,3,7,15,16,19,43,21,4576672000,6
1178,5,6,11,27,43,44,17,2391608407,12
1179,3,16,18,24,40,44,21,2162821097,13
1180,6,12,18,37,40,41,3,2535566421,11
1181,8,10,14,20,33,41,28,1593643500,17
1182,1,13,21,25,28,31,22,2124785424,13
1183,4,15,17,23,27,36,31,2073966000,13
1184,14,16,23,25,31,37,42,1910655600,15
1185,6,17,22,28,29,32,38,2388695125,12
1186,2,8,13,16,23,28,35,1985676911,14
1187,5,13,26,29,37,40,42,2619380012,11
1188,3,4,12,19,22,27,9,1074625172,24
1189,9,19,29,35,37,38,31,2263651299,13
1190,7,9,19,23,26,45,33,4622793813,6
1191,1,4,11,12,20,41,2,1536334355,18
1192,10,16,23,36,39,40,11,1079546587,29
1193,6,9,16,19,24,28,17,1717013508,16
1194,3,13,15,24,33,37,2,985155349,28
1195,3,15,27,33,34,36,37,2939186738,10
1196,8,12,15,29,40,45,14,2001627550,15
1197,1,5,7,26,28,43,30,2205089827,13
1198,26,30,33,38,39,41,21,2953686638,10
1199,16,24,25,30,31,32,7,1695609839,17
1200,1,2,4,16,20,32,45,2357299875,12
1201,7,9,24,27,35,36,37,1414555718,19
1202,5,12,21,33,37,40,7,1920410813,14
1203,3,6,18,29,35,39,24,1368060733,21
1204,8,16,28,30,31,44,27,1661007688,18
1205,1,4,16,23,31,41,2,3226386263,10
